NAMESPACE                      NAME                                                              READY   STATUS             RESTARTS          AGE    IP                NODE          NOMINATED NODE   READINESS GATES
security-aiops                 firewall-sculptor-service-gateway-0                               1/1     Running            1 (80d ago)       130d   10.244.2.176      csco-k8s-03   <none>           <none>
security-aiops                 firewall-sculptor-service-git-0                                   1/1     Running            1 (80d ago)       130d   10.244.2.185      csco-k8s-03   <none>           <none>
security-aiops                 firewall-sculptor-service-log-0                                   1/1     Running            1 (80d ago)       130d   10.244.2.48       csco-k8s-03   <none>           <none>
security-aiops                 firewall-sculptor-service-mail-0                                  1/1     Running            1 (80d ago)       130d   10.244.2.167      csco-k8s-03   <none>           <none>
security-aiops                 firewall-sculptor-service-monitor-0                               1/1     Running            3 (80d ago)       130d   10.244.2.177      csco-k8s-03   <none>           <none>
security-aiops                 firewall-sculptor-service-schedule-0                              1/1     Running            1 (80d ago)       130d   10.244.1.173      csco-k8s-02   <none>           <none>
security-aiops                 firewall-sculptor-web-775944dd8-qcnd7                             1/1     Running            2 (80d ago)       130d   10.244.2.209      csco-k8s-03   <none>           <none>
security-aiops                 gogs-0                                                            1/1     Running            1 (80d ago)       130d   10.244.2.11       csco-k8s-03   <none>           <none>
security-aiops                 mysql-0                                                           1/1     Running            1 (80d ago)       130d   10.244.1.219      csco-k8s-02   <none>           <none>
security-aiops                 rabbitmq-0                                                        1/1     Running            1 (80d ago)       130d   10.244.1.188      csco-k8s-02   <none>           <none>
security-aiops                 redis-0                                                           1/1     Running            1 (80d ago)       130d   10.244.1.122      csco-k8s-02   <none>           <none>
security-aiops                 task-middleware-55846dd5ff-jc5zd                                  1/1     Running            294 (6d18h ago)   197d   10.244.3.150      csco-k8s-04   <none>           <none>
test                           testpod01                                                         1/1     Running            2598 (91m ago)    327d   10.244.0.17       csco-k8s-01   <none>           <none>
test                           testpod03                                                         1/1     Running            3393 (88m ago)    327d   10.244.2.197      csco-k8s-03   <none>           <none>
test                           testpod04                                                         1/1     Running            2519 (41m ago)    327d   10.244.3.182      csco-k8s-04   <none>           <none>
tetration                      self-upgrade-w22c8                                                0/1     Completed          0                 325d   <none>            csco-k8s-03   <none>           <none>
tetration                      tetration-agent-6c2wr                                             1/1     Running            2 (80d ago)       271d   192.168.160.112   csco-k8s-02   <none>           <none>
tetration                      tetration-agent-ktw9m                                             1/1     Running            5 (80d ago)       325d   192.168.160.111   csco-k8s-01   <none>           <none>
tetration                      tetration-agent-pphf8                                             1/1     Running            4 (53d ago)       325d   192.168.160.114   csco-k8s-04   <none>           <none>
tetration                      tetration-agent-wfnll                                             1/1     Running            6 (80d ago)       325d   192.168.160.113   csco-k8s-03   <none>           <none>
